endTime,artistName,trackName,msPlayed,Language
2021-01-21 03:59,Pritam,Mere Bina,289560,hi
2021-01-21 04:03,Amit Trivedi,Iktara,253773,hi
2021-01-21 04:06,Badshah,"Akh Lad Jaave (From ""Loveyatri"")",180175,mr
2021-01-21 04:12,Pritam,Tum Se Hi,321225,hi
2021-01-21 04:18,Rahat Fateh Ali Khan,Afreen Afreen (Coke Studio Season 9),400000,ha
2021-01-21 04:22,Vilen,Ek Raat,224040,hi
2021-01-21 04:26,Vishal-Shekhar,Jab Mila Tu,251853,hi
2021-01-21 04:32,Mohit Chauhan,Tum Ho,316500,hi
2021-01-21 04:38,A.R. Rahman,Maa Tujhe Salaam - Live,374666,hi
2021-01-21 04:41,Maize Mirchi,Jashn-E-Bahara,188000,hi
2021-01-21 04:46,Palak Muchhal,"Chahun Main Ya Naa (From ""Aashiqui 2"")",295013,hi
2021-01-21 08:34,Billie Eilish,i love you,270641,en
2021-01-21 08:47,One Direction,Gotta Be You,244506,en
2021-01-21 08:51,NAV,TTD,242586,en
2021-01-21 08:54,Aya Nakamura,Djadja (feat. Afro B) - Remix,173024,en
2021-01-21 08:59,NF,Notepad,218600,en
2021-01-21 09:03,Passenger,Let Her Go,252733,en
2021-01-21 09:08,Babalos,Snow Crystal,322063,en
2021-01-21 09:14,Drake,Fire & Desire,238120,en
2021-01-21 09:16,Icona Pop,I Love It (feat. Charli XCX),157152,en
2021-01-21 09:20,Hardwell,How You Love Me (feat. Conor Maynard & Snoop Dogg),194285,en
2021-01-21 09:23,gianni & kyle,5 shots,181709,en
2021-01-21 09:26,Russ,The Flute Song,147600,en
2021-01-21 09:32,LANY,Hericane,346797,en
2021-01-21 09:36,ZAYN,Satisfaction,208000,en
2021-01-21 09:40,Lauv,The Other,189333,en
2021-01-21 09:41,Ali Gatie,What If I Told You That I Love You,12980,en
2021-01-21 09:41,M24,London (feat. Tion Wayne),31548,en
2021-01-21 10:27,SahBabii,Anime World,6627,en
2021-01-21 12:35,SahBabii,Anime World,15068,en
2021-01-21 12:39,NF,Let You Down,170656,en
2021-01-21 12:40,NF,Let You Down,17765,en
2021-01-21 12:44,NF,Chasing_(Demo),170962,en
2021-01-21 12:49,NF,Chasing_(Demo),131229,en
2021-01-21 15:31,NF,Chasing_(Demo),175634,en
2021-01-21 15:34,NF,Chasing_(Demo),181714,en
2021-01-21 15:37,NF,Chasing_(Demo),181714,en
2021-01-21 15:38,NF,Chasing_(Demo),84743,en
2021-01-21 19:32,NF,Chasing_(Demo),173944,en
2021-01-21 19:35,NF,Chasing_(Demo),152588,en
2021-01-21 20:09,will.i.am,Scream & Shout,1435,en
2021-01-21 20:11,Jeremy Zucker,this is how you fall in love,121450,en
2021-01-21 22:41,I Hate Models,Walpurgis Night,92735,en
2021-01-21 22:41,John Dopping,Cognition - Bryan Kearney's Heads Down Remix,12719,en
2021-01-21 22:42,G-Eazy,Remember You (feat. blackbear),592,en
2021-01-21 22:42,PnB Rock,Selfish,1174,en
2021-01-21 22:42,Young Thug,The London (feat. J. Cole & Travis Scott),412,en
2021-01-21 22:43,Eluzai,call my friends...,63274,en
2021-01-21 22:43,Eluzai,call my friends...,1003,en
2021-01-21 22:44,Kaash Paige,Frank Ocean,0,en
2021-01-21 22:44,Drake,Losses,335,en
2021-01-21 22:44,Drake,Losses,553,en
2021-01-21 22:44,J. Cole,Deja Vu,904,ro
2021-01-21 22:44,Ryan Caraveo,Nutcase,645,en
2021-01-21 22:44,Kid Cudi,Marijuana,0,hr
2021-01-21 22:44,Lauv,Chasing Fire - Stripped – Live in London,532,en
2021-01-21 22:44,Bryson Tiller,Run Me Dry,327,en
2021-01-21 22:44,Kaash Paige,London,2138,en
2021-01-21 22:44,KALEO,Way down We Go,23,en
2021-01-21 22:44,Eluzai,call my friends...,12372,en
2021-01-21 22:44,Summer Walker,My Affection (with PARTYNEXTDOOR),303,en
2021-01-21 22:44,G-Eazy,Tumblr Girls (feat. Christoph Andersson),881,en
2021-01-21 22:44,Drake,Pain 1993 (with Playboi Carti),373,en
2021-01-21 22:44,Glass Animals,Heat Waves,411,en
2021-01-21 22:44,Internet Money,Thrusting (feat. Swae Lee & Future),310,en
2021-01-21 22:44,Cannons,Fire for You,76,en
2021-01-21 22:45,Surf Mesa,ily (i love you baby) (feat. Emilee),0,en
2021-01-21 22:45,Jhené Aiko,B.S. (feat. H.E.R.),87,en
2021-01-21 22:45,Maroon 5,Daylight,308,en
2021-01-21 22:45,Jaden,SOHO,0,en
2021-01-21 22:45,Kaash Paige,Soul Ties,293,en
2021-01-21 22:48,Kid Cudi,Lord I Know,212040,en
2021-01-21 22:52,Aaron Smith,Dancin - Krono Remix,256000,sl
2021-01-21 22:56,Powfu,Life Is Changing,231000,en
2021-01-21 22:59,Kina,Get You The Moon (feat. Snøw) - Hippie Sabotage Remix,177480,en
2021-01-21 22:59,Russ,Nobody Knows,2542,en
2021-01-22 04:32,Russ,BEST ON EARTH (feat. BIA) - Bonus,4948,en
2021-01-22 04:35,Russ,From a Distance,175320,en
2021-01-22 04:37,Russ,BEST ON EARTH (feat. BIA) - Bonus,65894,en
2021-01-22 07:54,John Dopping,Cognition - Bryan Kearney's Heads Down Remix,264710,en
2021-01-22 07:54,H.E.R.,"Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown) (feat. Pop Smoke)",8260,en
2021-01-22 07:56,Amelie Lens,The Future,23170,en
2021-01-22 07:56,Kamilo Sanclemente,Final Warning - Q.U.A.K.E & Aaron Suiss Remix,41760,en
2021-01-22 12:22,John Dopping,Cognition - Bryan Kearney's Heads Down Remix,399318,en
2021-01-22 14:10,John Dopping,Cognition - Bryan Kearney's Heads Down Remix,358994,en
2021-01-22 15:02,Stefflon Don,Hurtin' Me,2514,en
2021-01-22 15:02,LANY,Super Far,203650,en
2021-01-22 15:02,John Dopping,Cognition - Bryan Kearney's Heads Down Remix,2805,en
2021-01-22 15:02,Q.U.A.K.E,Creation of Reality - Original Mix,720,en
2021-01-22 15:06,Kid Cudi,Rockstar Knights (with Trippie Redd),231466,en
2021-01-22 15:07,Anuv Jain,Ocean,1075,en
2021-01-22 15:07,Wiz Khalifa,Something New (feat. Ty Dolla $ign),850,en
2021-01-22 15:07,The Weeknd,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",2493,en
2021-01-22 15:07,Amir Obe,Took You Seriously,24101,en
2021-01-22 15:07,Thouxanbanfauni,FIRESTONE,922,en
2021-01-22 15:11,Roy Woods,Drama (feat. Drake),251859,en
2021-01-22 15:16,NF,How Could You Leave Us,322586,en
2021-01-22 15:20,Avicii,Waiting For Love,230613,en
2021-01-22 15:23,Icona Pop,I Love It (feat. Charli XCX),157152,en
2021-01-22 15:25,Justin Bieber,Sorry,160213,en
2021-01-22 15:50,Russ,Psycho,202553,en
2021-01-22 15:50,Russ,Psycho,16309,en
2021-01-22 20:09,John Dopping,Cognition - Bryan Kearney's Heads Down Remix,318618,en
2021-01-22 20:12,Popp Hunna,Adderall (Corvette Corvette),136224,en
2021-01-22 20:15,MC Fioti,Bum Bum Tam Tam - Jax Jones Remix,208909,gu
2021-01-22 20:20,NF,Grindin',277293,is
2021-01-22 20:20,Aitch,Buss Down (feat. ZieZie),85,nl
2021-01-22 20:23,Polo G,Go Stupid (feat. NLE Choppa & Mike WiLL Made-It),165726,en
2021-01-22 20:24,Jonas Brothers,Sucker,62776,en
2021-01-22 20:24,Ritesh Pandey,Pandeyji Ka Beta Hoon With Dialogues,901,hi
2021-01-22 20:27,NAV,I'm Ready,174622,en
2021-01-22 20:27,Jacquees,You,47057,en
2021-01-22 23:02,G-Eazy,Sober,203960,en
2021-01-22 23:05,Travis Scott,BUTTERFLY EFFECT,190557,en
2021-01-22 23:08,Russ,Maybe,174880,en
2021-01-22 23:11,Akon,Smack That,212360,en
2021-01-22 23:15,Kodaline,Follow Your Fire,238573,en
2021-01-22 23:19,Post Malone,Candy Paint,227533,en
2021-01-22 23:23,Showtek,Booyah,207437,hi
2021-01-22 23:51,dvsn,Nuh Time / Tek Time,340800,hr
2021-01-22 23:55,Stefan Eli,Hoping That You're Lonely,215106,en
2021-01-22 23:58,Izzamuzzic,Adventure - Original Mix,212270,en
2021-01-23 00:01,Drake,Not You Too (feat. Chris Brown),161117,en
2021-01-23 00:05,Powfu,Life Is Changing,231000,en
2021-01-23 00:06,Russ,Nobody Knows,52389,en
2021-01-23 00:09,keshi,2 soon,206511,en
2021-01-23 00:11,Russ,"Psycho, Pt. 2",121634,en
2021-01-23 00:15,Young Thug,The London (feat. J. Cole & Travis Scott),200186,en
2021-01-23 00:16,PARTYNEXTDOOR,Come and See Me (feat. Drake),88812,en
2021-01-23 00:20,Cannons,Fire for You,231825,en
2021-01-23 00:24,Glass Animals,Heat Waves,238805,en
2021-01-23 00:26,The Hunna,She's Casual,78926,en
2021-01-23 07:27,John Dopping,Cognition - Bryan Kearney's Heads Down Remix,0,en
2021-01-23 07:35,John Dopping,Cognition - Bryan Kearney's Heads Down Remix,349932,en
2021-01-23 07:41,Summer Walker,My Affection (with PARTYNEXTDOOR),202815,en
2021-01-23 07:51,Internet Money,Thrusting (feat. Swae Lee & Future),615347,en
2021-01-23 07:54,Kendrick Lamar,HUMBLE.,177000,en
2021-01-23 07:55,Kreepa,Oh No,0,en
2021-01-23 07:55,J Balvin,Mi Gente,0,es
2021-01-23 07:55,16yrold,No Romance,0,en
2021-01-23 07:55,Cigarettes After Sex,Heavenly,24407,en
2021-01-23 07:55,Tyga,Floss In The Bank,0,en
2021-01-23 07:55,Billie Eilish,lovely (with Khalid),0,en
2021-01-23 07:55,Coldplay,Fix You,13,en
2021-01-23 07:55,Coldplay,Fix You,844,en
2021-01-23 07:55,Amit Trivedi,Naina Da Kya Kasoor,711,hi
2021-01-23 07:55,Amit Trivedi,Naina Da Kya Kasoor,23,hi
2021-01-23 08:00,SZA,Love Galore (feat. Travis Scott),275080,en
2021-01-23 08:02,NAV,My Mind,145554,en
2021-01-23 08:06,Ed Sheeran,I Don't Care (with Justin Bieber),219946,en
2021-01-23 08:09,DNCE,Toothbrush,190639,en
2021-01-23 08:09,The Marías,Cariño,2933,es
2021-01-23 08:09,The Marías,Cariño,2577,es
2021-01-23 08:11,The Marías,Cariño,97660,es
2021-01-23 08:12,PARTYNEXTDOOR,Come and See Me (feat. Drake),0,en
2021-01-23 08:18,PARTYNEXTDOOR,Come and See Me (feat. Drake),235477,en
2021-01-23 08:20,The Weeknd,Missed You - Bonus Track,144539,en
2021-01-23 08:23,Kid Cudi,Lord I Know,0,en
2021-01-23 08:23,Drake,Not You Too (feat. Chris Brown),0,en
2021-01-23 08:23,Bryson Tiller,Run Me Dry,169266,en
2021-01-23 08:23,Kid Cudi,Lovin’ Me (feat. Phoebe Bridgers),0,en
2021-01-23 08:32,Kid Cudi,Lovin’ Me (feat. Phoebe Bridgers),165893,en
2021-01-23 08:36,J. Cole,Deja Vu,264746,ro
2021-01-23 08:40,KALEO,Way down We Go,213706,en
2021-01-23 08:44,PnB Rock,Selfish,245604,en
2021-01-23 08:45,dvsn,Nuh Time / Tek Time,102143,hr
2021-01-23 08:49,Stefan Eli,Hoping That You're Lonely,23,en
2021-01-23 08:49,keshi,2 soon,165232,en
2021-01-23 08:52,Kaash Paige,Soul Ties,182373,en
2021-01-23 08:58,Milky Chance,Stolen Dance,0,en
2021-01-23 08:58,G-Eazy,Tumblr Girls (feat. Christoph Andersson),254327,en
2021-01-23 09:43,Vishal-Shekhar,Khuda Jaane,76710,hi
2021-01-23 09:47,Jack Harlow,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",227478,en
2021-01-23 09:50,Harry Hudson,Just Slide (feat. Jaden),159120,en
2021-01-23 09:54,James Arthur,Naked,234106,en
2021-01-23 09:57,Aya Nakamura,Djadja (feat. Afro B) - Remix,173024,en
2021-01-23 09:59,Tyga,Floss In The Bank,151275,en
2021-01-23 10:04,NF,Thing Called Love,294320,en
2021-01-23 10:08,Roashan,Kumbali Trance,230367,ny
2021-01-23 10:12,Bad Bunny,Callaita,250533,ga
2021-01-23 10:13,Russ,Back To Life,25324,en
2021-01-23 10:17,Alyssa Mendonsa,Khaabon Ke Parinday,251704,hi
2021-01-23 10:21,Alyssa Mendonsa,Khaabon Ke Parinday,251704,hi
2021-01-23 10:25,Alyssa Mendonsa,Khaabon Ke Parinday,251704,hi
2021-01-23 10:27,Alyssa Mendonsa,Khaabon Ke Parinday,70466,hi
2021-01-23 13:25,Badshah,"Akh Lad Jaave (From ""Loveyatri"")",3056,mr
2021-01-23 13:25,keshi,i swear i'll never leave again,3088,en
2021-01-23 13:29,Cannons,Fire for You,231825,en
2021-01-23 13:32,Eluzai,call my friends...,197142,en
2021-01-23 13:35,Floreyyyy,Not Even Her (feat. Shiloh),174699,en
2021-01-23 13:39,Petit Biscuit,Sunset Lover,237792,en
2021-01-23 13:43,Powfu,Life Is Changing,231000,en
2021-01-23 13:45,Yung Gravy,Whip A Tesla,153733,en
2021-01-23 13:50,J. Cole,Deja Vu,264746,ro
2021-01-23 13:53,Kina,Get You The Moon (feat. Snøw) - Hippie Sabotage Remix,177480,en
2021-01-23 13:56,Kaash Paige,Soul Ties,182373,en
2021-01-23 14:00,Jhené Aiko,B.S. (feat. H.E.R.),212866,en
2021-01-23 14:00,Lauv,Chasing Fire - Stripped – Live in London,29235,en
2021-01-23 18:18,Lauv,Chasing Fire - Stripped – Live in London,127905,en
2021-01-24 03:14,PnB Rock,Selfish,47315,en
2021-01-24 11:33,Jhené Aiko,P*$$Y Fairy (OTW),3546,en
2021-01-24 11:33,John Dopping,Cognition - Bryan Kearney's Heads Down Remix,0,en
2021-01-24 11:33,PnB Rock,Selfish,597,en
2021-01-24 11:33,G-Eazy,Tumblr Girls (feat. Christoph Andersson),0,en
2021-01-24 11:36,Summer Walker,My Affection (with PARTYNEXTDOOR),213933,en
2021-01-24 11:39,Internet Money,Giddy Up (feat. Wiz Khalifa & 24KGoldn),157852,en
2021-01-24 11:42,Surf Mesa,ily (i love you baby) (feat. Emilee),176546,en
2021-01-24 11:44,Internet Money,Thrusting (feat. Swae Lee & Future),120580,en
2021-01-24 11:47,Internet Money,"Lemonade (feat. Gunna, Don Toliver & NAV)",195428,en
2021-01-24 11:50,Kaash Paige,Love Songs - Bonus,148640,en
2021-01-24 11:53,Kid Cudi,Lovin’ Me (feat. Phoebe Bridgers),165893,en
2021-01-24 11:55,Kid Cudi,Lovin’ Me (feat. Phoebe Bridgers),165893,en
2021-01-24 11:57,Machine Gun Kelly,Glass House (feat. Naomi Wild),78557,en
2021-01-25 03:49,Shawn Mendes,Lost In Japan,634,en
2021-01-25 03:49,Calvin Harris,Summer,222533,en
2021-01-25 03:55,John Dopping,Cognition - Bryan Kearney's Heads Down Remix,394296,en
2021-01-25 03:58,Bazzi,Fantasy,148229,en
2021-01-25 04:02,Afrojack,Ten Feet Tall,229149,en
2021-01-25 04:04,ZieZie,Fine Girl,163000,en
2021-01-25 04:08,Drake,Crew Love,208813,en
2021-01-25 04:11,Bea Miller,THAT BITCH,201101,en
2021-01-25 04:14,NF,WHY,188989,en
2021-01-25 04:17,Jeremy Zucker,you were good to me,142166,en
2021-01-25 06:24,Internet Money,Thrusting (feat. Swae Lee & Future),222680,en
2021-01-25 06:26,Internet Money,Giddy Up (feat. Wiz Khalifa & 24KGoldn),157852,en
2021-01-25 06:30,Internet Money,"Lemonade (feat. Gunna, Don Toliver & NAV)",195428,en
2021-01-25 06:33,Surf Mesa,ily (i love you baby) (feat. Emilee),176546,en
2021-01-25 06:36,Linkin Park,CASTLE OF GLASS,205400,en
2021-01-25 06:37,Post Malone,Sugar Wraith,76065,en
2021-01-25 07:21,Digga D,No Diet,0,en
2021-01-25 07:25,Calvin Harris,Summer,222533,en
2021-01-25 07:29,Sub Urban,Cradles,209829,en
2021-01-25 07:31,Showtek,Booyah,134281,hi
2021-01-25 07:35,Bryson Tiller,Right My Wrongs,249320,en
2021-01-25 07:35,will.i.am,Scream & Shout,19961,en
2021-01-25 07:39,The Weeknd,Starboy,230453,en
2021-01-25 07:42,BROCKHAMPTON,FACE,168829,en
2021-01-25 07:43,Amelie Lens,The Future,45548,en
2021-01-25 07:44,Amelie Lens,The Future,59649,en
2021-01-25 07:50,John Dopping,Cognition - Bryan Kearney's Heads Down Remix,341360,en
2021-01-25 07:52,NF,When I Grow Up,112548,en
2021-01-25 07:58,Q.U.A.K.E,Creation of Reality - Original Mix,220480,en
2021-01-25 07:58,Justin Bieber,Come Around Me,5583,en
2021-01-25 08:01,Kamilo Sanclemente,Final Warning - Q.U.A.K.E & Aaron Suiss Remix,155542,en
2021-01-25 08:03,XXXTENTACION,Everybody Dies In Their Nightmares,1551,en
2021-01-25 08:03,bülow,Lines,122329,en
2021-01-25 08:03,gianni & kyle,do u even miss me at all?,432,en
2021-01-25 08:03,Post Malone,Die For Me (feat. Future & Halsey),3427,en
2021-01-25 08:05,XXXTENTACION,Everybody Dies In Their Nightmares,60911,en
2021-01-25 08:08,gianni & kyle,do u even miss me at all?,177626,en
2021-01-25 08:13,Logic,Icy (feat. Gucci Mane),265266,en
2021-01-25 08:14,Imagine Dragons,Believer,96503,en
2021-01-25 08:14,ZAYN,River Road,23,en
2021-01-25 08:14,Billie Eilish,ocean eyes,772,en
2021-01-25 08:15,ZAYN,River Road,29637,en
2021-01-25 08:18,Billie Eilish,ocean eyes,200379,en
2021-01-25 08:22,Coldplay,A Sky Full of Stars,1018,en
2021-01-25 08:22,One Direction,Little Things,3320,en
2021-01-25 08:22,One Direction,Little Things,10429,en
2021-01-25 08:22,One Direction,Ready to Run,196053,en
2021-01-25 08:25,One Direction,No Control,199720,es
2021-01-25 08:28,One Direction,Fireproof,174080,en
2021-01-25 08:32,One Direction,Girl Almighty,201853,en
2021-01-25 08:36,One Direction,Steal My Girl,228133,en
2021-01-25 08:37,One Direction,18,101638,und
2021-01-25 08:56,One Direction,18,151615,und
2021-01-25 08:59,One Direction,Once in a Lifetime,158320,en
2021-01-25 09:02,One Direction,Change Your Ticket,1371,en
2021-01-25 09:02,One Direction,Fool's Gold,8590,en
2021-01-25 09:02,One Direction,Illusion,194200,en
2021-01-25 09:02,One Direction,Steal My Girl,3085,en
2021-01-25 09:06,One Direction,Stockholm Syndrome,214720,sv
2021-01-25 09:09,One Direction,Night Changes,0,en
2021-01-25 09:09,One Direction,Where Do Broken Hearts Go,815,en
2021-01-25 09:09,One Direction,Ready to Run,196053,en
2021-01-25 09:15,Amit Trivedi,"Tu Hi Hai (Ali Zafar Version) [From ""Dear Zindagi""]",22741,hi
2021-01-25 09:15,Pop Smoke,Dior,216386,en
2021-01-25 09:17,Summer Walker,My Affection (with PARTYNEXTDOOR),91881,en
2021-01-25 09:19,Kaash Paige,Love Songs - Bonus,148640,en
2021-01-25 09:24,Lauv,Getting Over You,255885,en
2021-01-25 09:26,Portugal. The Man,Feel It Still,163253,en
2021-01-25 09:30,James Arthur,Empty Space,214226,en
2021-01-25 09:33,A Boogie Wit da Hoodie,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",188563,en
2021-01-25 09:35,XXXTENTACION,Hope,110886,en
2021-01-25 09:38,Stay Flee Get Lizzy,Ay Caramba,182514,fil
2021-01-25 09:42,Starrah,Imperfections,13133,en
2021-01-25 09:42,Kid Cudi,Tequila Shots,0,en
2021-01-25 09:42,Travis Scott,WAKE UP,231963,en
2021-01-25 09:42,DJ Snake,Magenta Riddim,6596,pt
2021-01-25 09:45,Eluzai,call my friends...,146435,en
2021-01-25 09:48,Kid Cudi,4 Da Kidz,184240,bg
2021-01-25 09:51,Kid Cudi,The Pale Moonlight,176293,en
2021-01-25 10:00,Kid Cudi,Damaged,60798,en
2021-01-25 10:05,Kid Cudi,Rockstar Knights (with Trippie Redd),231466,en
2021-01-25 10:08,Kid Cudi,Lovin’ Me (feat. Phoebe Bridgers),165893,en
2021-01-25 10:11,Kid Cudi,Lord I Know,212040,en
2021-01-25 10:15,Kid Cudi,Elsie's Baby Boy (flashback),219213,en
2021-01-25 10:15,Kid Cudi,Elsie's Baby Boy (flashback),3565,en
2021-01-25 10:15,Kid Cudi,Another Day,9333,en
2021-01-25 10:18,Kid Cudi,Another Day,173834,en
2021-01-25 10:21,Kid Cudi,She Knows This,167010,en
2021-01-25 10:30,John Dopping,Cognition - Bryan Kearney's Heads Down Remix,277550,en
2021-01-25 10:33,Aaron Smith,Dancin - Krono Remix,171290,sl
2021-01-25 14:41,Mac Miller,Self Care,98303,en
2021-01-25 14:41,Majid Jordan,Caught Up (feat. Khalid),23,en
2021-01-25 14:44,Yung Gravy,Whip A Tesla,153733,en
2021-01-25 14:48,The Weeknd,Love In The Sky,244088,en
2021-01-25 14:52,Yung Raja,Mustafa,3977,tr
2021-01-25 14:52,ABANGSAPAU,Stay Home,257334,en
2021-01-25 14:57,Izzamuzzic,Adventure - Original Mix,319225,en
2021-01-25 15:01,bülow,Two Punks In Love,195346,en
2021-01-25 15:12,The Chainsmokers,Who Do You Love,3963,en
2021-01-25 15:12,Jeremy Zucker,desire,113390,en
2021-01-25 16:05,Owl City,Fireflies,0,en
2021-01-25 16:05,Kina,I've Changed for You,658,en
2021-01-25 16:05,Lauv,I Like Me Better,163,en
2021-01-25 16:05,Billie Eilish,bad guy,140381,en
2021-01-25 16:05,Lauv,For Now,0,en
2021-01-25 16:06,Imran Khan,Amplifier,0,en
2021-01-25 16:09,Lauv,I Like Me Better,197436,en
2021-01-25 16:09,Imran Khan,Amplifier,2238,en
2021-01-25 16:12,Drake,Mob Ties,205146,en
2021-01-25 16:15,Drake,Emotionless,152454,en
2021-01-25 16:17,Khalid,Angels,94263,en
2021-01-25 16:17,G-Eazy,Some Kind Of Drug (feat. Marc E. Bassy),3657,en
2021-01-25 16:20,Post Malone,rockstar (feat. 21 Savage),218146,en
2021-01-25 16:25,The Weeknd,Party Monster,249213,en
2021-01-25 16:26,Kendrick Lamar,All The Stars (with SZA),684,en
2021-01-25 16:26,One Direction,Perfect,82620,en
2021-01-25 16:29,Lil Tjay,20/20,179982,und
2021-01-25 16:30,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),44715,en
2021-01-25 16:33,Kendrick Lamar,HUMBLE.,171410,en
2021-01-25 16:35,Eminem,Till I Collapse,121333,en
2021-01-25 16:35,NF,Grindin',1030,is
2021-01-25 16:36,Russ,Take It All in (feat. Rexx Life Raj),1041,en
2021-01-25 16:36,khai dreams,Come True,66649,en
2021-01-25 16:36,Kodak Black,ZEZE (feat. Travis Scott & Offset),23,en
2021-01-25 16:36,Cubicolor,Wake Me Up,6464,en
2021-01-25 16:39,Bea Miller,feel something,180161,en
2021-01-25 16:41,Subhash Kapoor,"Mata Ka Email (From ""Guddu Rangeela"")",1415,kn
2021-01-25 16:41,Laolu,Force,95803,en
2021-01-25 16:42,Ed Sheeran,Perfect Duet (Ed Sheeran & Beyoncé),47960,en
2021-01-25 16:42,Subhash Kapoor,"Mata Ka Email (From ""Guddu Rangeela"")",1304,kn
2021-01-25 16:42,Laolu,Force,2935,en
2021-01-25 16:46,88GLAM,Lil Boat,129922,en
2021-01-25 16:47,Alessia Cara,Out Of Love,116088,en
2021-01-25 16:50,NAV,Run It Up (feat. Pop Smoke),18422,en
2021-01-25 16:50,Bazzi,Focus (feat. 21 Savage),155133,en
2021-01-25 16:52,Internet Money,Thrusting (feat. Swae Lee & Future),112826,en
2021-01-25 16:53,Alyssa Mendonsa,Khaabon Ke Parinday,0,hi
2021-01-25 16:53,Taio Cruz,Dynamite,1867,en
2021-01-25 16:53,Russ,Psycho,13556,en
2021-01-25 16:53,Nusrat Fateh Ali Khan,Mere Rashke Qamar,19287,hi
2021-01-25 16:53,Transviolet,Pretty Head,0,en
2021-01-25 16:55,Trippie Redd,It Takes Time,90924,en
